  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2024                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.667 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -23.000  -1.1842   0.11170   0.10708  -0.0462   0.9999   0.0764
 -21.000  -1.2066   0.08413   0.07923  -0.0562   0.9999   0.0868
 -19.000  -1.2199   0.05916   0.05386  -0.0620   0.9999   0.0989
 -15.000  -1.1592   0.02751   0.02169  -0.0543   0.9999   0.1337
 -13.000  -1.0660   0.02018   0.01435  -0.0453   0.9918   0.1610
 -11.000  -0.8505   0.01522   0.00948  -0.0506   0.9566   0.2028
  -9.000  -0.6971   0.01247   0.00665  -0.0385   0.8757   0.2486
  -7.000  -0.5256   0.01099   0.00502  -0.0280   0.7850   0.3030
  -5.000  -0.3320   0.01019   0.00405  -0.0214   0.6920   0.3651
  -3.000  -0.1326   0.00974   0.00354  -0.0158   0.6026   0.4362
  -1.000   0.0712   0.00963   0.00343  -0.0111   0.5212   0.5151
   1.000   0.2713   0.00983   0.00367  -0.0059   0.4462   0.6043
   3.000   0.4660   0.01035   0.00432  -0.0001   0.3787   0.7057
   5.000   0.6429   0.01131   0.00552   0.0086   0.3181   0.8177
   7.000   0.8088   0.01333   0.00770   0.0181   0.2636   0.9262
   9.000   1.0107   0.01706   0.01132   0.0168   0.2125   0.9891
  11.000   1.1474   0.02211   0.01628   0.0219   0.1734   1.0001
  13.000   1.2187   0.03090   0.02509   0.0319   0.1440   1.0001
  15.000   1.2762   0.04481   0.03921   0.0344   0.1214   1.0001
  17.000   1.2886   0.06538   0.06008   0.0327   0.1040   1.0001
  19.000   1.2697   0.09138   0.08644   0.0266   0.0901   1.0001
  21.000   1.2544   0.11837   0.11382   0.0164   0.0787   1.0001
  23.000   1.2529   0.14409   0.13976   0.0028   0.0689   1.0001
  25.000   1.2583   0.16945   0.16545  -0.0144   0.0605   1.0001
