xflr5 v6.47

Plane Name
T4-3.0°-LLT-17.3kg-x0.0m
QInf  =   10.000000 m/s
Alpha =    3.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.325485
Cy    =    0.000000
Cd    =    0.017467     ICd   =    0.008530     PCd   =    0.008937
Cl   = -1.40946e-17
Cm   =  -0.0890249
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.408268     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =  114.189684

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -2.9631     1.0123    -3.505    0.121068    0.009586    0.007406   -0.040083   -0.009839     0.5001    0.5341    0.3353    0.0000
   -2.8532     1.0489    -2.580    0.214579    0.009573    0.009664   -0.061324   -0.007663     0.4630    0.5720    0.2796    0.0606
   -2.6730     1.1090    -1.962    0.277676    0.009527    0.009509   -0.075809   -0.006358     0.4375    0.5962    0.2632    0.5200
   -2.4271     1.1910    -1.581    0.316386    0.009426    0.008728   -0.084676   -0.005545     0.4194    0.6084    0.2566    2.1358
   -2.1213     1.2929    -1.387    0.337990    0.009287    0.008184   -0.090064   -0.005535     0.4077    0.6098    0.2550    6.0906
   -1.7634     1.4122    -1.313    0.347648    0.009115    0.007966   -0.092738   -0.005797     0.3997    0.6058    0.2551   13.9005
   -1.3620     1.5460    -1.316    0.348755    0.008930    0.008009   -0.093310   -0.006093     0.3936    0.5991    0.2559   27.2403
   -0.9271     1.6910    -1.383    0.343327    0.008761    0.008289   -0.092390   -0.006530     0.3892    0.5884    0.2577   47.7008
   -0.4693     1.8436    -1.512    0.332329    0.008579    0.008770   -0.090320   -0.007211     0.3887    0.5748    0.2609   76.5001
   -0.0000     2.0000    -1.703    0.314268    0.008411    0.009342   -0.086485   -0.007890     0.3903    0.5588    0.2654   114.1897
    0.4693     1.8436    -1.512    0.332329    0.008579    0.008770   -0.090320   -0.007211     0.3887    0.5748    0.2609   76.5001
    0.9271     1.6910    -1.383    0.343327    0.008761    0.008289   -0.092390   -0.006530     0.3892    0.5884    0.2577   47.7008
    1.3620     1.5460    -1.316    0.348755    0.008930    0.008009   -0.093310   -0.006093     0.3936    0.5991    0.2559   27.2403
    1.7634     1.4122    -1.313    0.347648    0.009115    0.007966   -0.092738   -0.005797     0.3997    0.6058    0.2551   13.9005
    2.1213     1.2929    -1.387    0.337990    0.009287    0.008184   -0.090064   -0.005535     0.4077    0.6098    0.2550    6.0906
    2.4271     1.1910    -1.581    0.316386    0.009426    0.008728   -0.084676   -0.005545     0.4194    0.6084    0.2566    2.1358
    2.6730     1.1090    -1.962    0.277676    0.009527    0.009509   -0.075809   -0.006358     0.4375    0.5962    0.2632    0.5200
    2.8532     1.0489    -2.580    0.214579    0.009573    0.009664   -0.061324   -0.007663     0.4630    0.5720    0.2796    0.0606
    2.9631     1.0123    -3.505    0.121068    0.009586    0.007406   -0.040083   -0.009839     0.5001    0.5341    0.3353    0.0000




