  
       XFOIL         Version 6.99
  
 Calculated polar for: airfoil_01.dat                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2666   0.00637   0.00171  -0.0528   0.6500   0.6470
   0.250   0.2949   0.00655   0.00185  -0.0529   0.6404   0.6495
   0.500   0.3230   0.00658   0.00189  -0.0530   0.6331   0.6594
   0.750   0.3496   0.00683   0.00238  -0.0523   0.6314   0.6874
   1.000   0.3779   0.00681   0.00235  -0.0525   0.6290   0.6886
   1.250   0.4061   0.00679   0.00234  -0.0526   0.6253   0.6899
   1.500   0.4344   0.00680   0.00234  -0.0528   0.6216   0.6911
   1.750   0.4626   0.00681   0.00234  -0.0530   0.6174   0.6921
   2.000   0.4905   0.00683   0.00234  -0.0531   0.6122   0.6929
   2.250   0.5179   0.00687   0.00235  -0.0531   0.6057   0.6937
   2.500   0.5446   0.00693   0.00236  -0.0530   0.5963   0.6945
   2.750   0.5717   0.00701   0.00240  -0.0529   0.5850   0.6951
   3.000   0.5999   0.00699   0.00241  -0.0531   0.5816   0.6956
   3.250   0.6279   0.00699   0.00243  -0.0533   0.5753   0.6961
   3.500   0.6545   0.00705   0.00245  -0.0531   0.5599   0.6965
   3.750   0.6781   0.00720   0.00248  -0.0524   0.5343   0.6969
   4.000   0.6987   0.00749   0.00256  -0.0511   0.4858   0.6973
   4.250   0.7143   0.00806   0.00283  -0.0490   0.4124   0.6976
   4.500   0.7298   0.00869   0.00313  -0.0469   0.3438   0.6979
   4.750   0.7483   0.00917   0.00338  -0.0454   0.2972   0.6982
   5.000   0.7673   0.00960   0.00362  -0.0440   0.2609   0.6984
   5.250   0.7889   0.00988   0.00380  -0.0430   0.2387   0.6986
   5.500   0.8090   0.01023   0.00402  -0.0418   0.2122   0.6988
   5.750   0.8296   0.01053   0.00422  -0.0407   0.1949   0.6990
   6.000   0.8495   0.01086   0.00444  -0.0395   0.1737   0.6992
   6.250   0.8707   0.01108   0.00459  -0.0385   0.1624   0.7004
   6.500   0.8893   0.01134   0.00477  -0.0370   0.1514   0.7017
   6.750   0.9077   0.01158   0.00495  -0.0355   0.1370   0.7031
   7.000   0.9280   0.01176   0.00512  -0.0343   0.1321   0.7047
   7.250   0.9460   0.01207   0.00535  -0.0328   0.1231   0.7062
   7.500   0.9654   0.01234   0.00559  -0.0315   0.1175   0.7081
   7.750   0.9843   0.01264   0.00586  -0.0302   0.1063   0.7101
   8.000   1.0048   0.01286   0.00610  -0.0291   0.1043   0.7124
   8.250   1.0260   0.01306   0.00651  -0.0281   0.1095   0.7151
   8.500   1.0448   0.01336   0.00688  -0.0268   0.1088   0.7178
   8.750   1.0649   0.01361   0.00717  -0.0258   0.1059   0.7207
   9.000   1.0851   0.01385   0.00748  -0.0248   0.1051   0.7237
   9.250   1.1046   0.01411   0.00776  -0.0237   0.1020   0.7265
   9.500   1.1214   0.01449   0.00811  -0.0222   0.0954   0.7296
   9.750   1.1359   0.01502   0.00856  -0.0205   0.0863   0.7324
  10.000   1.1517   0.01548   0.00906  -0.0189   0.0808   0.7354
  10.250   1.1691   0.01586   0.00948  -0.0176   0.0781   0.7380
  10.500   1.1874   0.01621   0.00987  -0.0165   0.0771   0.7409
  10.750   1.2049   0.01662   0.01030  -0.0154   0.0748   0.7435
  11.000   1.2214   0.01711   0.01079  -0.0142   0.0715   0.7454
  11.250   1.2342   0.01777   0.01139  -0.0125   0.0659   0.7470
