  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2024                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.8083   0.01215   0.00664  -0.0383   0.8852   0.2054
  -9.000  -0.7224   0.01114   0.00558  -0.0336   0.8418   0.2286
  -8.000  -0.6346   0.01047   0.00482  -0.0288   0.7960   0.2531
  -7.000  -0.5430   0.00990   0.00421  -0.0246   0.7497   0.2810
  -6.000  -0.4439   0.00951   0.00375  -0.0217   0.7032   0.3096
  -5.000  -0.3433   0.00918   0.00339  -0.0191   0.6577   0.3415
  -4.000  -0.2409   0.00894   0.00313  -0.0168   0.6137   0.3748
  -3.000  -0.1367   0.00882   0.00296  -0.0149   0.5713   0.4086
  -2.000  -0.0332   0.00874   0.00287  -0.0129   0.5302   0.4463
  -1.000   0.0712   0.00872   0.00286  -0.0110   0.4916   0.4854
   0.000   0.1757   0.00876   0.00292  -0.0093   0.4552   0.5264
   1.000   0.2786   0.00891   0.00308  -0.0074   0.4197   0.5701
   2.000   0.3803   0.00911   0.00331  -0.0053   0.3858   0.6168
   3.000   0.4801   0.00937   0.00364  -0.0030   0.3543   0.6673
   4.000   0.5737   0.00977   0.00410   0.0004   0.3226   0.7209
   5.000   0.6635   0.01021   0.00465   0.0045   0.2953   0.7772
   6.000   0.7535   0.01097   0.00549   0.0080   0.2676   0.8339
   7.000   0.8405   0.01188   0.00651   0.0118   0.2424   0.8893
   8.000   0.9179   0.01314   0.00781   0.0169   0.2189   0.9406
   9.000   1.0010   0.01481   0.00946   0.0201   0.1970   0.9798
  10.000   1.1163   0.01706   0.01163   0.0152   0.1750   0.9940
  11.000   1.1960   0.01968   0.01418   0.0156   0.1567   1.0001
  12.000   1.2261   0.02269   0.01719   0.0243   0.1431   1.0001
  13.000   1.2734   0.02671   0.02124   0.0279   0.1306   1.0001
  14.000   1.3137   0.03201   0.02661   0.0303   0.1193   1.0001
  15.000   1.3431   0.03886   0.03355   0.0317   0.1095   1.0001
  16.000   1.3617   0.04725   0.04207   0.0320   0.1010   1.0001
  17.000   1.3661   0.05763   0.05262   0.0313   0.0939   1.0001
  18.000   1.3587   0.06975   0.06493   0.0295   0.0874   1.0001
  19.000   1.3363   0.08413   0.07951   0.0264   0.0817   1.0001
  20.000   1.3153   0.09884   0.09442   0.0221   0.0764   1.0001
