  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2024                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -1.2274   0.02367   0.01821  -0.0481   0.9999   0.1208
 -14.500  -1.2142   0.02203   0.01653  -0.0438   0.9989   0.1257
 -14.000  -1.1624   0.02031   0.01481  -0.0460   0.9952   0.1326
 -13.500  -1.1086   0.01866   0.01319  -0.0483   0.9919   0.1408
 -13.000  -1.0552   0.01725   0.01180  -0.0501   0.9866   0.1491
 -12.500  -1.0013   0.01606   0.01063  -0.0514   0.9787   0.1579
 -12.000  -0.9588   0.01507   0.00964  -0.0500   0.9642   0.1663
 -11.500  -0.9246   0.01413   0.00870  -0.0468   0.9457   0.1757
 -11.000  -0.8886   0.01337   0.00792  -0.0436   0.9261   0.1848
 -10.500  -0.8488   0.01275   0.00726  -0.0409   0.9061   0.1944
 -10.000  -0.8083   0.01215   0.00664  -0.0383   0.8852   0.2054
  -9.500  -0.7663   0.01160   0.00607  -0.0358   0.8638   0.2169
  -9.000  -0.7224   0.01114   0.00558  -0.0336   0.8418   0.2286
  -8.500  -0.6774   0.01076   0.00516  -0.0314   0.8192   0.2406
  -8.000  -0.6346   0.01047   0.00482  -0.0288   0.7960   0.2531
  -7.500  -0.5906   0.01017   0.00450  -0.0263   0.7728   0.2670
  -7.000  -0.5430   0.00990   0.00421  -0.0246   0.7497   0.2810
  -6.500  -0.4940   0.00969   0.00397  -0.0230   0.7263   0.2952
  -6.000  -0.4439   0.00951   0.00375  -0.0217   0.7032   0.3097
  -5.500  -0.3935   0.00934   0.00357  -0.0204   0.6804   0.3249
  -5.000  -0.3433   0.00918   0.00339  -0.0191   0.6577   0.3415
  -4.500  -0.2924   0.00904   0.00325  -0.0179   0.6355   0.3581
  -4.000  -0.2409   0.00894   0.00313  -0.0168   0.6137   0.3747
  -3.500  -0.1889   0.00887   0.00303  -0.0158   0.5924   0.3915
  -3.000  -0.1367   0.00882   0.00296  -0.0149   0.5713   0.4086
  -2.500  -0.0848   0.00878   0.00291  -0.0139   0.5507   0.4270
  -2.000  -0.0332   0.00874   0.00287  -0.0129   0.5302   0.4463
  -1.000   0.0711   0.00872   0.00286  -0.0110   0.4916   0.4853
  -0.500   0.1236   0.00873   0.00288  -0.0102   0.4733   0.5056
  -0.000   0.1757   0.00876   0.00292  -0.0093   0.4552   0.5263
   0.500   0.2275   0.00882   0.00299  -0.0084   0.4375   0.5478
   1.000   0.2786   0.00891   0.00308  -0.0074   0.4197   0.5701
   2.000   0.3803   0.00911   0.00331  -0.0053   0.3859   0.6168
   2.500   0.4308   0.00922   0.00346  -0.0042   0.3700   0.6417
   3.000   0.4801   0.00937   0.00364  -0.0030   0.3543   0.6672
   3.500   0.5282   0.00955   0.00385  -0.0015   0.3387   0.6936
   4.000   0.5737   0.00977   0.00410   0.0004   0.3227   0.7209
   4.500   0.6182   0.00994   0.00433   0.0026   0.3091   0.7488
   5.000   0.6635   0.01021   0.00465   0.0044   0.2953   0.7772
   5.500   0.7091   0.01056   0.00504   0.0061   0.2815   0.8055
   6.000   0.7535   0.01097   0.00549   0.0080   0.2676   0.8339
   6.500   0.7971   0.01142   0.00598   0.0099   0.2542   0.8620
   7.000   0.8405   0.01188   0.00651   0.0118   0.2423   0.8893
   7.500   0.8809   0.01246   0.00712   0.0141   0.2305   0.9155
   8.000   0.9179   0.01314   0.00781   0.0169   0.2189   0.9407
   8.500   0.9545   0.01394   0.00860   0.0197   0.2076   0.9631
   9.000   1.0010   0.01481   0.00946   0.0201   0.1970   0.9798
   9.500   1.0554   0.01585   0.01047   0.0185   0.1860   0.9904
  10.000   1.1163   0.01706   0.01163   0.0152   0.1750   0.9940
  10.500   1.1730   0.01843   0.01296   0.0123   0.1647   0.9984
  11.000   1.1960   0.01968   0.01418   0.0156   0.1567   1.0001
  11.500   1.2082   0.02092   0.01544   0.0209   0.1504   1.0001
  12.000   1.2261   0.02269   0.01719   0.0243   0.1431   1.0001
  12.500   1.2512   0.02449   0.01901   0.0262   0.1368   1.0001
  13.000   1.2734   0.02671   0.02124   0.0279   0.1306   1.0001
  13.500   1.2929   0.02932   0.02387   0.0293   0.1244   1.0001
  14.000   1.3137   0.03201   0.02661   0.0303   0.1193   1.0001
  14.500   1.3253   0.03562   0.03024   0.0313   0.1138   1.0001
  15.000   1.3431   0.03886   0.03355   0.0317   0.1095   1.0001
