  
       XFOIL         Version 6.99
  
 Calculated polar for: airfoil_01.dat                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2534   0.01326   0.00775  -0.0473   0.7384   0.7567
   0.250   0.2809   0.01327   0.00772  -0.0477   0.7350   0.7575
   0.500   0.3081   0.01339   0.00783  -0.0480   0.7309   0.7584
   0.750   0.3339   0.01341   0.00789  -0.0479   0.7265   0.7595
   1.000   0.3593   0.01310   0.00757  -0.0475   0.7201   0.7606
   1.250   0.3857   0.01283   0.00725  -0.0472   0.7109   0.7616
   1.500   0.4132   0.01262   0.00699  -0.0471   0.7026   0.7627
   1.750   0.4410   0.01248   0.00678  -0.0471   0.6948   0.7640
   2.000   0.4693   0.01249   0.00675  -0.0474   0.6883   0.7652
   2.250   0.4970   0.01266   0.00691  -0.0477   0.6811   0.7666
   2.500   0.5223   0.01250   0.00679  -0.0472   0.6771   0.7686
   2.750   0.5476   0.01238   0.00669  -0.0468   0.6708   0.7710
   3.000   0.5739   0.01229   0.00662  -0.0466   0.6645   0.7728
   3.250   0.6007   0.01220   0.00653  -0.0465   0.6578   0.7743
   3.500   0.6278   0.01210   0.00643  -0.0464   0.6505   0.7758
   3.750   0.6558   0.01207   0.00635  -0.0465   0.6415   0.7772
   4.000   0.6827   0.01209   0.00636  -0.0465   0.6315   0.7787
   4.250   0.7063   0.01191   0.00632  -0.0457   0.6223   0.7801
   4.500   0.7310   0.01178   0.00620  -0.0451   0.6094   0.7816
   4.750   0.7564   0.01171   0.00605  -0.0447   0.5940   0.7830
   5.000   0.7804   0.01169   0.00603  -0.0440   0.5793   0.7843
   5.250   0.8025   0.01163   0.00597  -0.0430   0.5538   0.7857
   5.500   0.8210   0.01171   0.00587  -0.0412   0.5080   0.7871
   5.750   0.8264   0.01223   0.00591  -0.0370   0.4286   0.7885
   6.000   0.8305   0.01298   0.00628  -0.0329   0.3603   0.7899
   6.250   0.8375   0.01368   0.00670  -0.0295   0.3121   0.7912
   6.500   0.8472   0.01421   0.00706  -0.0266   0.2788   0.7924
   6.750   0.8568   0.01479   0.00749  -0.0237   0.2510   0.7935
   7.000   0.8715   0.01524   0.00784  -0.0218   0.2324   0.7959
   7.250   0.8829   0.01584   0.00833  -0.0194   0.2123   0.7994
   7.500   0.9021   0.01614   0.00868  -0.0183   0.2037   0.8029
   7.750   0.9175   0.01661   0.00912  -0.0167   0.1933   0.8065
   8.000   0.9273   0.01736   0.00978  -0.0141   0.1792   0.8105
   8.250   0.9439   0.01783   0.01031  -0.0127   0.1724   0.8145
   8.500   0.9627   0.01818   0.01074  -0.0116   0.1672   0.8187
   8.750   0.9786   0.01869   0.01151  -0.0102   0.1597   0.8233
   9.000   0.9910   0.01936   0.01213  -0.0084   0.1510   0.8283
   9.250   1.0017   0.02037   0.01312  -0.0064   0.1404   0.8333
   9.750   1.0368   0.02129   0.01426  -0.0043   0.1341   0.8497
  10.000   1.0520   0.02175   0.01485  -0.0029   0.1297   0.8626
  10.750   1.1066   0.02392   0.01728  -0.0021   0.1142   1.0000
  11.000   1.1209   0.02530   0.01867  -0.0011   0.1061   1.0000
  11.250   1.1378   0.02582   0.01924  -0.0005   0.1045   1.0000
  11.500   1.1541   0.02649   0.01998   0.0001   0.1021   1.0000
  11.750   1.1684   0.02731   0.02086   0.0009   0.0987   1.0000
  12.000   1.1818   0.02817   0.02177   0.0017   0.0950   1.0000
  12.250   1.1931   0.02904   0.02260   0.0026   0.0900   1.0000
  12.500   1.1976   0.03048   0.02399   0.0038   0.0809   1.0000
  12.750   1.2124   0.03125   0.02479   0.0042   0.0770   1.0000
  13.000   1.2265   0.03217   0.02580   0.0047   0.0753   1.0000
  13.250   1.2404   0.03309   0.02679   0.0052   0.0724   1.0000
  13.500   1.2513   0.03431   0.02808   0.0059   0.0700   1.0000
  13.750   1.2616   0.03559   0.02941   0.0066   0.0673   1.0000
  14.000   1.2707   0.03698   0.03081   0.0071   0.0642   1.0000
  14.250   1.2763   0.03868   0.03247   0.0077   0.0595   1.0000
  14.500   1.2782   0.04078   0.03466   0.0086   0.0565   1.0000
  14.750   1.2859   0.04239   0.03635   0.0092   0.0544   1.0000
  15.000   1.2964   0.04376   0.03783   0.0095   0.0534   1.0000
  15.250   1.3066   0.04514   0.03932   0.0098   0.0522   1.0000
  15.500   1.3141   0.04682   0.04110   0.0100   0.0506   1.0000
  15.750   1.3245   0.04825   0.04253   0.0098   0.0464   1.0000
  16.000   1.3286   0.05024   0.04453   0.0099   0.0428   1.0000
  16.250   1.3305   0.05253   0.04684   0.0100   0.0394   1.0000
  16.500   1.3266   0.05561   0.05001   0.0099   0.0356   1.0000
  16.750   1.3274   0.05833   0.05265   0.0095   0.0252   1.0000
  17.000   1.3205   0.06205   0.05638   0.0091   0.0198   1.0000
  17.250   1.2892   0.06930   0.06361   0.0076   0.0117   1.0000
  17.500   1.2979   0.07128   0.06575   0.0070   0.0139   1.0000
  17.750   1.2563   0.08088   0.07561   0.0038   0.0097   1.0000
  18.250   1.2216   0.09366   0.08876  -0.0020   0.0093   1.0000
  18.500   1.2081   0.09956   0.09483  -0.0050   0.0094   1.0000
  18.750   1.1905   0.10633   0.10177  -0.0088   0.0094   1.0000
  19.000   1.1693   0.11381   0.10943  -0.0131   0.0093   1.0000
  19.250   1.1473   0.12121   0.11700  -0.0176   0.0092   1.0000
  19.500   1.1337   0.12695   0.12287  -0.0213   0.0094   1.0000
  19.750   1.1129   0.13448   0.13055  -0.0260   0.0093   1.0000
  20.000   1.0960   0.14158   0.13779  -0.0304   0.0092   1.0000
