  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2024                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1757   0.00876   0.00292  -0.0093   0.4552   0.5264
   0.250   0.2009   0.00882   0.00296  -0.0087   0.4452   0.5372
   0.500   0.2275   0.00882   0.00299  -0.0084   0.4375   0.5479
   0.750   0.2530   0.00886   0.00303  -0.0079   0.4283   0.5593
   1.000   0.2786   0.00891   0.00308  -0.0074   0.4197   0.5701
   1.250   0.3045   0.00893   0.00312  -0.0069   0.4114   0.5821
   1.500   0.3291   0.00902   0.00319  -0.0063   0.4017   0.5929
   1.750   0.3553   0.00903   0.00324  -0.0059   0.3948   0.6056
   2.000   0.3803   0.00911   0.00331  -0.0053   0.3858   0.6168
   2.250   0.4053   0.00916   0.00339  -0.0047   0.3780   0.6298
   2.500   0.4308   0.00922   0.00346  -0.0042   0.3700   0.6417
   2.750   0.4543   0.00933   0.00356  -0.0034   0.3610   0.6547
   3.000   0.4801   0.00937   0.00364  -0.0030   0.3543   0.6673
   3.250   0.5040   0.00947   0.00375  -0.0022   0.3460   0.6807
   3.500   0.5282   0.00955   0.00385  -0.0015   0.3387   0.6936
   3.750   0.5527   0.00964   0.00396  -0.0009   0.3312   0.7072
   4.000   0.5737   0.00977   0.00410   0.0004   0.3227   0.7209
   4.250   0.5976   0.00984   0.00420   0.0012   0.3166   0.7339
   4.500   0.6182   0.00994   0.00433   0.0026   0.3092   0.7488
   4.750   0.6401   0.01009   0.00449   0.0037   0.3021   0.7623
   5.000   0.6635   0.01021   0.00465   0.0044   0.2953   0.7772
   5.250   0.6851   0.01041   0.00486   0.0055   0.2874   0.7913
   5.500   0.7091   0.01056   0.00504   0.0061   0.2815   0.8055
   5.750   0.7314   0.01074   0.00525   0.0071   0.2745   0.8201
   6.000   0.7535   0.01097   0.00549   0.0080   0.2676   0.8339
   6.250   0.7765   0.01114   0.00571   0.0087   0.2614   0.8484
   6.500   0.7971   0.01142   0.00598   0.0099   0.2542   0.8620
   6.750   0.8194   0.01163   0.00623   0.0107   0.2486   0.8759
   7.000   0.8405   0.01188   0.00651   0.0118   0.2424   0.8893
   7.250   0.8598   0.01221   0.00683   0.0130   0.2357   0.9025
