  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0750   0.00684   0.00193  -0.0097   0.4066   0.3061
   5.000   0.5233   0.00766   0.00301   0.0134   0.2881   0.5267
  15.000   1.4380   0.02511   0.02081   0.0171   0.0888   0.9977
  20.000   1.5710   0.05781   0.05385   0.0276   0.0600   1.0000
  25.000   1.4590   0.12010   0.11687   0.0191   0.0382   0.9999
   0.000   0.0750   0.00684   0.00193  -0.0097   0.4066   0.3061
   5.000   0.5233   0.00766   0.00301   0.0134   0.2881   0.5267
  15.000   1.4380   0.02511   0.02081   0.0171   0.0888   0.9977
  20.000   1.5710   0.05781   0.05385   0.0276   0.0600   1.0000
  25.000   1.4590   0.12010   0.11687   0.0191   0.0382   0.9999
   0.000   0.0750   0.00684   0.00193  -0.0097   0.4066   0.3061
   5.000   0.5233   0.00766   0.00301   0.0134   0.2881   0.5267
  15.000   1.4380   0.02511   0.02081   0.0171   0.0888   0.9977
  20.000   1.5710   0.05781   0.05385   0.0276   0.0600   1.0000
  25.000   1.4590   0.12010   0.11687   0.0191   0.0382   0.9999
