  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2024                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1757   0.00876   0.00292  -0.0093   0.4552   0.5264
   1.000   0.2786   0.00891   0.00308  -0.0074   0.4197   0.5701
   2.000   0.3803   0.00911   0.00331  -0.0053   0.3858   0.6168
   3.000   0.4801   0.00937   0.00364  -0.0030   0.3543   0.6673
   4.000   0.5737   0.00977   0.00410   0.0004   0.3227   0.7209
   5.000   0.6635   0.01021   0.00465   0.0044   0.2953   0.7773
   6.000   0.7535   0.01097   0.00549   0.0080   0.2676   0.8339
   7.000   0.8405   0.01188   0.00651   0.0118   0.2424   0.8893
   8.000   0.9179   0.01314   0.00781   0.0169   0.2189   0.9406
   9.000   1.0010   0.01481   0.00946   0.0201   0.1970   0.9798
  11.000   1.1960   0.01968   0.01418   0.0156   0.1567   1.0001
  12.000   1.2261   0.02269   0.01719   0.0243   0.1431   1.0001
  13.000   1.2734   0.02671   0.02124   0.0279   0.1306   1.0001
  14.000   1.3137   0.03201   0.02661   0.0303   0.1193   1.0001
  15.000   1.3431   0.03886   0.03355   0.0317   0.1095   1.0001
