  
       XFOIL         Version 6.99
  
 Calculated polar for: teste_otimizacao.txt                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2464   0.00535   0.00078  -0.0525   0.5309   0.3974
   0.500   0.3018   0.00520   0.00081  -0.0524   0.4985   0.4943
   1.000   0.3574   0.00514   0.00087  -0.0524   0.4698   0.5777
   1.500   0.4137   0.00506   0.00093  -0.0525   0.4490   0.6528
   2.000   0.4691   0.00505   0.00103  -0.0523   0.4197   0.7321
   2.500   0.5233   0.00509   0.00116  -0.0519   0.3828   0.8147
   3.000   0.5762   0.00520   0.00133  -0.0512   0.3457   0.8886
   3.500   0.6275   0.00544   0.00154  -0.0501   0.3044   0.9424
   4.000   0.6796   0.00575   0.00175  -0.0492   0.2676   0.9760
   4.500   0.7391   0.00636   0.00207  -0.0502   0.2049   0.9919
   5.000   0.8037   0.00705   0.00245  -0.0525   0.1471   0.9977
   5.500   0.8659   0.00757   0.00279  -0.0542   0.1131   0.9999
   6.000   0.9127   0.00803   0.00314  -0.0525   0.0895   0.9999
   6.500   0.9607   0.00852   0.00351  -0.0510   0.0690   0.9999
   7.000   1.0097   0.00907   0.00393  -0.0498   0.0505   0.9999
   7.500   1.0596   0.00961   0.00437  -0.0488   0.0401   0.9999
   8.000   1.1109   0.01004   0.00477  -0.0481   0.0340   0.9999
   8.500   1.1603   0.01062   0.00530  -0.0472   0.0278   0.9999
   9.000   1.2101   0.01116   0.00582  -0.0462   0.0220   0.9999
   9.500   1.2605   0.01161   0.00628  -0.0455   0.0216   0.9999
  10.000   1.3088   0.01220   0.00683  -0.0445   0.0190   0.9999
  10.500   1.3508   0.01329   0.00796  -0.0423   0.0119   0.9999
  11.000   1.3975   0.01388   0.00858  -0.0411   0.0119   0.9999
  11.500   1.4426   0.01453   0.00926  -0.0396   0.0118   0.9999
  12.000   1.4863   0.01521   0.00997  -0.0380   0.0118   0.9999
  12.500   1.5279   0.01592   0.01071  -0.0360   0.0117   0.9999
  13.000   1.5642   0.01667   0.01150  -0.0332   0.0116   0.9999
  13.500   1.5977   0.01751   0.01238  -0.0300   0.0114   0.9999
  14.000   1.6293   0.01849   0.01344  -0.0268   0.0112   0.9999
  14.500   1.6594   0.01961   0.01460  -0.0238   0.0108   0.9999
  15.000   1.6857   0.02101   0.01602  -0.0206   0.0100   0.9999
